Company,Industry,State,FoundedYear,FTE,6Months_growth,1Year_growth,2Year_growth,ContactName,Title,City,ZipCode,STATE_CODE,CAPITAL_RAISED,COUNTRY,US_POSTAL_CODE,GLOBAL_POSTAL_CODE,Company_age
ACES Risk Management,Financial Services,Colorado,1989,47,0.07,0.15,0.24,Trevor Gauthier,CEO,Denver,80206,CO,0,United States,80206, ,31
Allbound,Internet,Arizona,2014,46,0.12,0.15,0.84,David Thomson,CEO,Scottsdale,85251,AZ,9000000,United States,85251, ,6
Allegiance Merchant Services,Financial Services,North Carolina,2009,33,0.03,0,0.18,Josh Brant,CEO,Charlotte,28205,NC,0,United States,28205, ,11
"Alpha II, LLC",Information Technology and Services,Florida,,70,0.01,0.06,0.08,Rex Stanley,President,Tallahassee,32317,FL,0,United States,32317, ,
AMERGINT Technologies,Defense & Space,Colorado,2008,68,0.16,0.16,0.74,Rob Andzik,President,Colorado Springs,80920,CO,0,United States,80920, ,12
AMI Strategies,Financial Services,Florida,1991,39,0,0,0.03,Jane Sydlowski,CEO,Livonia,48152,FL,0,United States,48152, ,29
"Annapolis Micro Systems, Inc.",Computer Hardware,Maryland,1982,62,0,0.02,0,Dan Markoff,VP,Annapolis,21401,MD,0,United States,21401, ,38
APU Solutions,Automotive,Kansas,1999,56,0,0,0.02,Charles Lukens,Founder,Overland Park,66210,KS,300000,United States,66210, ,21
Aquaveo,Civil Engineering,Utah,1985,37,0.05,0.08,0.22,Royd Nelson,Vice President,Provo,84604,UT,0,United States,84604, ,35
Archarithms,Defense & Space,Alabama,2012,52,0.07,0,0.2,Randy Riley,CEO,Huntsville,35801,AL,0,United States,35801, ,8
"ATSER Systems, Inc.",Civil Engineering,Texas,1993,42,0.03,0.05,0.08,D. Martinez,CEO,Houston,77060,TX,0,United States,77060, ,27
AVT Simulation,Defense & Space,Florida,1998,116,0.01,0.05,0.16,Robert Abascal,CEO,Orlando,32826-2716,FL,0,United States, ,32826-2716,22
Barchart,Financial Services,Illinois,1980,53,0.02,0,0.04,Mark Haraburda,CEO,Chicago,60606,IL,0,United States,60606, ,40
BeckWay Group,Venture Capital & Private Equity,New York,2016,73,0.21,0.75,0.33,Mark Habner,CEO, New York,450 ,NY,0,United States, ,450 ,4
"BETA CAE Systems USA, Inc.",Mechanical or Industrial Engineering,Michigan,1997,63,0.05,0.07,0.16, Hideshige Okamura,CEO,Farmington Hills,48334,MI,0,United States,48334, ,23
Blueport Commerce,Internet,Massachusetts,2009,56,0.02,0.11,0.47,Carl Prindle,CEO,Boston,2118,MA,0,United States, ,2118,11
BOLT ON TECHNOLOGY (Automotive),Automotive,Pennsylvania,2008,34,0.03,0.01,0,Mike Risich,CEO,Southampton,18966,PA,10000000,United States,18966, ,12
Bourque Logistics,Logistics and Supply Chain,Texas,1989,59,0.07,0.09,0.14,Steve Bourque,president,The Woodlands,77380,TX,0,United States,77380, ,31
Brain Power,Education Management,Massachusetts,2013,34,0,0.02,0.03,Ned Sahin,CEO,Cambridge,2142,MA,0,United States,2142, ,7
"C/F Data Systems, LLC",Construction,Massachusetts,1979,35,0.06,0.06,0.1,Eric Goldstein,CEO,Weymouth,2189,MA,0,United States,2189, ,41
C4i Training and Technology,Defense & Space,Virginia,2003,39,0.34,0.05,0.63,Niall Clyne,CEO,Tysons Corner,22102,VA,0,United States,22102, ,17
Capital Market Services,Financial Services,New York,1999,41,0,0,0.03,Vera Hawkin,CEO,New York,10118,NY,0,United States,10118, ,21
"Carlson Software, Laser Measurement Devices",Electrical/Electronic Manufacturing,Kentucky,1983,52,0,0,0,Yasunobu Hashimoto,Vice President,Maysville,41056,KY,0,United States,41056, ,37
Car-Research XRM,Automotive,Texas,1995,60,0.02,0.08,0.09,Patrick Kelly,CEO,Houston,77092,TX,0,United States,77092, ,25
"Celtic Engineering, Inc.",Civil Engineering,Florida,2005,45,0.04,0.02,0.05,Jeremy Wall,President,Windermere,34786,FL,0,United States,34786, ,15
ChannelNet,Marketing and Advertising,Michigan,1985,62,0.05,0.05,0.09,Christopher Sims,CTO,Dearborn,48126,MI,0,United States,48126, ,35
Chargeback,Financial Services,Utah,2011,74,0.07,0.11,0.34,John Munro - ,CEO,Salt Lake City,84103,UT,0,United States,84103, ,9
ChemImage Corporation,Defense & Space,Pennsylvania,1994,108,0.03,0.13,0.18,Jeffrey K. Cohen,President, Pittsburgh,15208,PA,0,United States,15208, ,26
"Clarity Ventures, Inc.",Internet,Texas,2006,32,0,0.19,0.19,Chris Reddick,CEO,Austin,78759,TX,0,United States,78759, ,14
Clear Touch Interactive,Computer Hardware,South Carolina,2012,40,0.11,0.18,0.17,Keone Trask ,President,Greenville,29607,SC,0,United States,29607, ,8
Closerlook,Marketing and Advertising,Illinois,1987,118,0.02,0.13,0.43,David Ormesher,CEO,Chicago,60654,IL,0,United States,60654, ,33
Cognitive Systems Corp.,Wireless,Ontario,2014,45,0.02,0.16,0.02,Tajinder Manku,CEO,Waterloo,560 ,Ontario,0,Canada, ,560 ,6
Continuity Programs,Marketing and Advertising,Michigan,1973,33,0.03,0.03,0.03,Kirk King,President,Walled Lake,48390,MI,0,United States,48390, ,47
Controller Technologies Corporation,Automotive,Michigan,1991,33,0.03,0,0.03,Dan Marus,President,Rochester,48307,MI,0,United States,48307, ,29
ControlSoft Inc.,Industrial Automation,Ohio,1985,40,0,0,0.14,Tien-Li Chia,President,Highland Heights,44143,OH,0,United States,44143, ,35
Corporate Settlement Solutions,Real Estate,Michigan,1992,55,0.04,0.02,0.02,Jerome,Founder,Traverse City,49686,MI,0,United States,49686, ,28
Cougar Mountain Software,Accounting,Idaho,1982,62,0,0.09,0.09,Chuck Gossett,CEO,Boise,83704,ID,0,United States,83704, ,38
Crystal Clear Digital Marketing,Marketing and Advertising,Florida,2013,55,0.15,0.08,0.06,Adam DeGraide,CEO,Orlando,32819,FL,0,United States,32819, ,7
DataLink Software,Hospital & Health Care,Florida,2002,97,0.08,0.27,0.58,Kevin Steele,CEO,Tampa,33637,FL,0,United States, ,33637,18
DataMaster for Appraisers,Real Estate,Utah,1980,45,0,0.05,0.14,Kevin White,CEO,Layton,84041,UT,0,United States,84041, ,40
